[2026-04-05 21:39:19.274236+00:00] User: ali | Method: POST | Path: /api/reservations/ | Status: 400
[2026-04-05 21:39:41.936833+00:00] User: ali | Method: POST | Path: /api/reservations/ | Status: 201
[2026-04-05 22:04:21.328415+00:00] User: ali | Method: POST | Path: /api/reservations/ | Status: 400
[2026-04-05 22:04:28.798375+00:00] User: ali | Method: POST | Path: /api/reservations/ | Status: 201
[2026-04-05 22:39:17.317725+00:00] User: ali | Method: POST | Path: /admin/login/ | Status: 302
[2026-04-05 22:39:41.784793+00:00] User: ali | Method: POST | Path: /admin/chat/message/add/ | Status: 302
[2026-04-21 23:16:35.811417+00:00] User: alii | Method: POST | Path: /admin/login/ | Status: 302
[2026-04-21 23:32:20.388003+00:00] User: postgres | Method: POST | Path: /api/reservations/ | Status: 201
[2026-04-21 23:33:54.992798+00:00] User: postgres | Method: POST | Path: /api/reservations/2/confirmer/ | Status: 200
[2026-04-21 23:33:55.761579+00:00] User: postgres | Method: POST | Path: /api/reservations/2/confirmer/ | Status: 200
[2026-05-01 20:46:26.122511+00:00] User: yassir | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-01 20:46:36.172148+00:00] User: yassir | Method: POST | Path: /api/reservations/3/annuler/ | Status: 200
[2026-05-01 21:00:36.897226+00:00] User: ali | Method: POST | Path: /admin/login/ | Status: 302
[2026-05-01 21:01:11.956326+00:00] User: ali | Method: POST | Path: /admin/accounts/user/add/ | Status: 200
[2026-05-01 21:01:23.444095+00:00] User: ali | Method: POST | Path: /admin/accounts/user/add/ | Status: 200
[2026-05-01 21:01:42.139821+00:00] User: ali | Method: POST | Path: /admin/accounts/user/add/ | Status: 200
[2026-05-01 21:01:55.517837+00:00] User: ali | Method: POST | Path: /admin/accounts/user/add/ | Status: 302
[2026-05-01 21:02:48.429702+00:00] User: ali | Method: POST | Path: /admin/reservations/avis/add/ | Status: 200
[2026-05-02 11:45:45.762144+00:00] User: ali | Method: POST | Path: /admin/reservations/avis/add/ | Status: 200
[2026-05-02 11:45:55.561097+00:00] User: ali | Method: POST | Path: /admin/reservations/avis/add/ | Status: 302
[2026-05-02 11:49:34.256856+00:00] User: ali | Method: POST | Path: /admin/services/service/add/ | Status: 302
[2026-05-02 11:50:21.035134+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-02 12:17:01.127880+00:00] User: aliox | Method: POST | Path: /api/reservations/4/annuler/ | Status: 200
[2026-05-02 12:17:25.954744+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-02 12:18:32.273054+00:00] User: ali | Method: POST | Path: /admin/reservations/reservation/5/change/ | Status: 302
[2026-05-02 12:19:48.416232+00:00] User: ali | Method: POST | Path: /admin/accounts/user/add/ | Status: 200
[2026-05-02 12:20:06.486427+00:00] User: ali | Method: POST | Path: /admin/accounts/user/add/ | Status: 200
[2026-05-02 12:20:20.162916+00:00] User: ali | Method: POST | Path: /admin/accounts/user/add/ | Status: 200
[2026-05-02 12:20:43.582157+00:00] User: ali | Method: POST | Path: /admin/services/service/add/ | Status: 200
[2026-05-02 12:23:09.358400+00:00] User: ali | Method: POST | Path: /api/reservations/1/annuler/ | Status: 200
[2026-05-02 12:23:09.954043+00:00] User: ali | Method: POST | Path: /api/reservations/1/annuler/ | Status: 200
[2026-05-02 16:41:26.779810+00:00] User: ali | Method: POST | Path: /admin/services/service/add/ | Status: 200
[2026-05-02 16:41:32.091350+00:00] User: ali | Method: POST | Path: /admin/services/service/add/ | Status: 302
[2026-05-02 16:42:15.171166+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-02 16:42:49.083536+00:00] User: ali | Method: POST | Path: /admin/reservations/reservation/6/change/ | Status: 302
